well_head_depth_pressure =  175.96349999999998
The string 'wbhp' is found as control!
Walltime = 0.0 Simulated time = 0.0
# 1 	T = 1e-05	DT = 1e-05	NI = 8	LI=16	DT_MULT=1.3	dX=[0.008 0.    0.   ]
Walltime = 4.834994554519653 Simulated time = 1e-05
# 2 	T = 2.3e-05	DT = 1.3e-05	NI = 1	LI=2	DT_MULT=1.3	dX=[0.011 0.    0.   ]
Walltime = 5.446976900100708 Simulated time = 2.3000000000000003e-05
# 3 	T = 3.99e-05	DT = 1.69e-05	NI = 1	LI=2	DT_MULT=1.3	dX=[0.014 0.    0.   ]
Walltime = 5.947430610656738 Simulated time = 3.990000000000001e-05
# 4 	T = 6.187e-05	DT = 2.197e-05	NI = 1	LI=2	DT_MULT=1.3	dX=[0.018 0.    0.   ]
Walltime = 6.228379487991333 Simulated time = 6.187e-05
# 5 	T = 9.0431e-05	DT = 2.8561e-05	NI = 1	LI=2	DT_MULT=1.3	dX=[0.023 0.    0.   ]
Walltime = 6.510961294174194 Simulated time = 9.0431e-05
# 6 	T = 0.00012756	DT = 3.71293e-05	NI = 1	LI=2	DT_MULT=1.3	dX=[0.029 0.    0.   ]
Walltime = 6.689469575881958 Simulated time = 0.0001275603
# 7 	T = 0.000175828	DT = 4.82681e-05	NI = 2	LI=4	DT_MULT=1.3	dX=[0.038 0.    0.   ]
Walltime = 6.894856929779053 Simulated time = 0.00017582839
# 8 	T = 0.000238577	DT = 6.27485e-05	NI = 2	LI=4	DT_MULT=1.3	dX=[0.048 0.    0.   ]
Walltime = 7.017256021499634 Simulated time = 0.000238576907
# 9 	T = 0.00032015	DT = 8.15731e-05	NI = 2	LI=4	DT_MULT=1.3	dX=[0.062 0.    0.   ]
Walltime = 7.170256614685059 Simulated time = 0.0003201499791
# 10 	T = 0.000426195	DT = 0.000106045	NI = 2	LI=4	DT_MULT=1.3	dX=[0.079 0.    0.   ]
Walltime = 7.297242641448975 Simulated time = 0.00042619497283
# 11 	T = 0.000564053	DT = 0.000137858	NI = 2	LI=4	DT_MULT=1.3	dX=[0.1 0.  0. ]
Walltime = 7.451083421707153 Simulated time = 0.000564053464679
# 12 	T = 0.00074327	DT = 0.000179216	NI = 2	LI=4	DT_MULT=1.3	dX=[0.125 0.    0.   ]
Walltime = 7.610438823699951 Simulated time = 0.0007432695040827001
# 13 	T = 0.00097625	DT = 0.000232981	NI = 2	LI=5	DT_MULT=1.3	dX=[0.155 0.    0.   ]
Walltime = 7.840394973754883 Simulated time = 0.0009762503553075102
# 14 	T = 0.00127913	DT = 0.000302875	NI = 2	LI=6	DT_MULT=1.3	dX=[0.19 0.   0.  ]
Walltime = 7.961526393890381 Simulated time = 0.0012791254618997633
# 15 	T = 0.00167286	DT = 0.000393738	NI = 2	LI=4	DT_MULT=1.3	dX=[0.229 0.    0.   ]
